job_id;company_id;title;min_salary;pay_period;formatted_work_type;location;applies;remote_allowed;views;formatted_experience_level;sponsored;company_size;industry;employee_count;follower_count
2148434586;2780388.0;Manager, Salesforce Platform;98640.0;YEARLY;Full-time;New Hampshire, United States;0.0;0.0;0.0;Mid-Senior level;0;5.0;Real Estate;1132.0;29459.0
2148434616;15564.0;Lead Solar Maintenance Roofer, Residential Service;19.0;HOURLY;Full-time;San Diego, CA;0.0;0.0;0.0;Mid-Senior level;0;7.0;Automotive;61796.0;11874439.0
2148434725;13074.0;Mental Health Professional;55280.0;YEARLY;Full-time;Spokane, WA;0.0;0.0;0.0;Entry level;0;7.0;Hospital & Health Care;10035.0;42011.0
2148434726;13074.0;Mental Health Professional;55280.0;YEARLY;Full-time;Spokane, WA;0.0;0.0;0.0;Entry level;0;7.0;Hospital & Health Care;10035.0;42011.0
2148434909;6600327.0;Clinic Managers - Physical Therapist;91010.65;YEARLY;Full-time;Puyallup, WA;0.0;0.0;0.0;Mid-Senior level;0;3.0;Hospital & Health Care;198.0;643.0
2649106600;10496448.0;Lead Software Engineer;160000.0;YEARLY;Full-time;United States;1.0;1.0;10.0;Mid-Senior level;0;2.0;Information Technology & Services;219.0;25751.0
3557311439;9817526.0;Territory Associate ;45000.0;YEARLY;Full-time;San Gabriel, CA;0.0;0.0;0.0;Entry level;0;4.0;Medical Device;472.0;9590.0
3584068782;583005.0;Sales Account Executive - Court & Process;60000.0;YEARLY;Full-time;San Francisco Bay Area;2.0;0.0;5.0;Executive;0;4.0;Law Practice;352.0;4485.0
3636503102;408636.0;Remote Licensed Health Insurance Agent;18.0;HOURLY;Full-time;United States;0.0;1.0;0.0;Associate;1;5.0;Staffing & Recruiting;4303.0;44848.0
3680164564;6648075.0;Principal;160000.0;YEARLY;Full-time;Chicago, IL;21.0;0.0;117.0;Director;0;1.0;Staffing & Recruiting;17.0;27218.0
3682818140;68921004.0;Senior Business Intelligence Developer;100.0;YEARLY;Contract;McKinney, TX;41.0;0.0;155.0;Executive;0;1.0;Information Technology & Services;12.0;10327.0
3689687080;252624.0;Area Manager;90000.0;YEARLY;Full-time;Buffalo, NY;39.0;0.0;114.0;Mid-Senior level;1;6.0;Utilities;1771.0;11720.0
3690804650;260776.0;Director of Engineering;127000.0;YEARLY;Full-time;Largo, FL;86.0;0.0;433.0;Mid-Senior level;0;4.0;Pharmaceuticals;311.0;5405.0
3690841406;477012.0;Russian Linguist with TS/SCI ;100000.0;YEARLY;Full-time;Quantico, VA;16.0;0.0;185.0;Mid-Senior level;0;2.0;Information Technology & Services;16.0;2274.0
3690867240;1724775.0;Mechanical Designer;40.0;HOURLY;Contract;Manassas, VA;26.0;0.0;100.0;Associate;0;4.0;Oil & Energy;140.0;35612.0
3692301171;298409.0;Project Assistant;35000.0;YEARLY;Full-time;Minnetonka, MN;3.0;0.0;6.0;Entry level;0;4.0;Staffing & Recruiting;395.0;146780.0
3692302089;37768.0;Data Scientist/ Product Analyst ;70.0;HOURLY;Contract;San Francisco, CA;7.0;0.0;37.0;Mid-Senior level;0;5.0;Information Technology & Services;2025.0;231947.0
3692362958;2413926.0;TicketManager - Customer Support Specialist;22.0;HOURLY;Full-time;Tempe, AZ;1.0;0.0;13.0;Entry level;0;1.0;Staffing & Recruiting;13.0;8106.0
3692364560;4857886.0;President TOA Global - North America;250000.0;YEARLY;Full-time;Fort Worth, TX;1.0;0.0;5.0;Executive;0;5.0;Outsourcing/Offshoring;2948.0;45509.0
